Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
150.10050251256283	0.1	1.3045703822455872	0.7665358754187542	516.926806532538	593.5803940744134	5.21877014987073	1.569872542001622	2.1175013047442555	319.15190237675165	15.680869544876867	5.929199332012115e-06	0.01590005597374175	vapor
151.3819095477387	0.1	1.293057378883269	0.7733608858592462	518.9569762100837	596.2930647960083	5.236765813601707	1.569521335320005	2.1164028536372212	320.58247795284353	15.42771995135612	5.981547863215023e-06	0.016050781666257518	vapor
152.66331658291458	0.1	1.2817533779622632	0.7801812869725407	520.9862380266408	599.0043667238948	5.254600784735119	1.5692009984114177	2.1153644331282364	322.0052588365215	15.181838708326133	6.033717558189962e-06	0.01620154923503102	vapor
153.94472361809045	0.1	1.2706524615961063	0.786997255523252	523.0146494367873	601.7143749891123	5.272278239752242	1.5689103261994461	2.114383285374405	323.4203795766143	14.94290818198982	6.085711690398677e-06	0.016352354714691906	vapor
155.22613065326635	0.1	1.2597489466577254	0.7938089590415038	525.0422654342299	604.4231613383802	5.28980125424525	1.5686482399877162	2.113456882814073	324.8279689469481	14.710628527016665	6.137533390177757e-06	0.01650319491431157	vapor
156.5075376884422	0.1	1.2490373724738622	0.8006165564280795	527.0691387744063	607.1307944172144	5.3071728080515825	1.5684137772802755	2.1125829097766102	326.2281502551098	14.484716525448729	6.189185654281862e-06	0.016654067388264512	vapor
157.7889447236181	0.1	1.2385124893355457	0.8074201985128902	529.0953201792521	609.837340030541	5.32439579003574	1.5682060824907513	2.111759245715291	327.62104162992966	14.264904507821198	6.240671354624839e-06	0.016804970414729323	vapor
159.07035175879398	0.1	1.2281692477588557	0.8142200285708053	531.1208585256921	612.5428613827727	5.341473002548067	1.5680243984481226	2.1109839498979985	329.00675628962995	14.05093935034513	6.2919932462977316e-06	0.01695590298167556	vapor
160.35175879396985	0.1	1.2180027884363887	0.8210161827985224	533.1458010192711	615.2474192991233	5.358407165587171	1.5678680586186602	2.1102552474104757	330.3854027923757	13.842581542577403	6.343153974933947e-06	0.017106864780453118	vapor
161.63316582914575	0.1	1.208008432825423	0.8278087907557814	535.1701933541806	617.9510724297586	5.375200920690068	1.56773647997321	2.1095715163436894	331.7570852707789	13.639604320480164	6.394156083484072e-06	0.017257856207381086	vapor
