Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, Pa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Thermal Expansion Coefficient (l, 1/K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, Pa*s)	Therm. Cond. (v, W/m*K)	Thermal Expansion Coefficient (v, 1/K)
95.9748743718593	0.022169394665982448	444.3870182932789	0.0022502907574587093	-54.01634451750948	-53.96645693359413	-0.5188597650461316	2.1355729696486816	3.3886760067058304	1490.0228649326255	-0.4693710442804905	0.00017444354247585293	0.20476114113135968	0.016014539611951543	0.003054776904321611	0.45119269221999986	2.2163479534203177	433.51069175034354	482.6457842468359	5.072314432289098	1.5814503658761807	2.1282992667078346	255.5407771516928	41.673426494749634	3.5878379306899485e-06	0.009435111517876633	0.01083635562176197
96.47236180904522	0.02345456477378165	443.7119104708642	0.0022537145756101216	-52.33088585841156	-52.278025963916996	-0.501342859446394	2.132762349632274	3.3909565032092766	1485.3698010335868	-0.46805954471353667	0.00017191034580940764	0.2041342514817001	0.015915851528031814	0.00306568594424974	0.4751318140317585	2.1046791026566756	434.22741787941567	483.59175022067757	5.053302700546014	1.5822873904167278	2.1302892808153455	256.11957166992295	41.15996508935466	3.6094946465138904e-06	0.009496763717004326	0.01079750499181008
96.96984924623115	0.024798773696156136	443.03546087360894	0.0022571556643076122	-50.644334200233935	-50.58835950771952	-0.48390470156899995	2.1299809383303976	3.3932840091572767	1480.7046505614708	-0.46672586853682946	0.00016944024640702735	0.20350400308260702	0.015817183452936586	0.0030767288375522176	0.5000501699003831	1.9997993405325987	434.9422832236474	484.5348545072152	5.034544777053153	1.5831396850893515	2.132328083409372	256.69384843819057	40.657848410423384	3.6310961381447164e-06	0.009558605531887109	0.010759553548053863
97.46733668341709	0.026203950389838155	442.3576515232868	0.002260614225969498	-48.95666892540784	-48.89743190238239	-0.46654427073904436	2.1272272424079066	3.395657382412157	1476.0276267520378	-0.4653699698521286	0.0001670310130627338	0.20287049758306286	0.015718537441539705	0.003087907125744611	0.5259747443480869	1.9012319712031764	435.65525152004545	485.47503977300676	5.016035738716609	1.584007230607678	2.134416256405257	257.26357290097934	40.16674887118522	3.652642830227827e-06	0.009620640905838418	0.010722496354315313
97.96482412060301	0.027672056081556762	441.6784643561167	0.002264090465578416	-47.26787004215858	-47.2052180038225	-0.44926056816488785	2.1244998694346027	3.3980756053278167	1471.3389305482933	-0.46399177720446955	0.00016468051248954684	0.20223383422888383	0.015619915533128319	0.003099222417282432	0.5529328422467995	1.8085378975439006	436.36628636760486	486.41224849404057	4.997770764642217	1.5848900055660324	2.136554387585014	257.8287105951728	39.68635138673941	3.67413517285417e-06	0.009682873826326995	0.010686328665406655
98.46231155778895	0.029205083964135837	440.99788121315305	0.002267584590767359	-45.577918126591655	-45.51169312822153	-0.43205261590157124	2.1217975216881895	3.4005377779702264	1466.6387511182786	-0.46259119460748277	0.00016238670429025623	0.20159410992036336	0.015521319751626465	0.0031106763874334774	0.5809520855013198	1.7213123508061288	437.07535122879636	487.34642296257465	4.979745133515021	1.5857879867605438	2.1387430713640203	258.3892271671557	39.216352761631626	3.6955736418437264e-06	0.0097453083253335	0.010651045927533628
98.95979899497488	0.03080505887935191	440.31588383088837	0.00227109681190622	-43.886794268086916	-43.816832997075686	-0.41491945587380097	2.119118990340703	3.4030431117753106	1461.9272663472902	-0.4611681024948231	0.00016014763621423721	0.20095141926824284	0.015422752105819896	0.003122270778262593	0.6100604098882364	1.6391819298406871	437.7824094305633	488.2775052932576	4.961954221055882	1.586701149505427	2.1409829095664747	258.9450883890649	38.75646111080281	3.716958739022019e-06	0.009807948479719074	0.010616643778881411
99.4572864321608	0.03247403698826111	439.63245383204907	0.00227462734218895	-42.194480017797815	-42.12061368535229	-0.39786014895468896	2.1164631500042423	3.4055909236177064	1457.204643305711	-0.45972235860147775	0.0001579614396828427	0.2003058546480598	0.015324214589581983	0.0031340073987258586	0.6402860620624715	1.5618019183157417	438.4874241648354	489.2054374285412	4.944393497552233	1.5876294679437315	2.143274512208717	259.4962601741994	38.30639531218963	3.73829099249036e-06	0.009870798411604138	0.010583118050373208
99.95477386934674	0.0342141054297022	438.9475727165615	0.002278176397721472	-40.50095734006505	-40.42301157260555	-0.3808737740965115	2.1138289536135457	3.408180630265889	1452.4710386934257	-0.4582537987784357	0.00015582632556702987	0.1996575062529268	0.01522570918210088	0.00314588812487191	0.6716575967428634	1.488853851798	439.1903584885673	490.13016114338654	4.927058525460199	1.5885729153519847	2.145618498289674	260.0427085915952	37.86588448933007	3.7595709568904477e-06	0.009933862288766457	0.01055046476659305
100.45226130653266	0.036027381967681626	438.26122185267116	0.0022817441976104532	-38.80620856654661	-38.7240032967877	-0.36395942751018834	2.1112154276241926	3.410811743200172	1447.7265992620128	-0.45676223774417923	0.0001537405802019286	0.19900646214478274	0.015127237848107926	0.0031579149001474517	0.7042038740878255	1.4200433096101996	439.8911753233084	491.05161804927104	4.909944957075378	1.5895314644382283	2.1480154965878318	260.58439987977556	37.43466752239402	3.780799213664072e-06	0.009997144325055624	0.010518680146865158
100.94974874371859	0.03791601462834345	437.57338246819467	0.002285330964053065	-37.110216352897105	-37.023565710634244	-0.34711622189018204	2.108621667506893	3.413483863772466	1442.9714622155946	-0.4552474697760273	0.0001517025616240426	0.19835280830416763	0.01502880253810732	0.003170089735805621	0.7379540572717451	1.3550979090718092	440.5898374543127	491.96974959750315	4.893048532269764	1.590505087633077	2.1504661464643586	261.1213004596852	37.012492586128694	3.801976371308595e-06	0.010060648780830302	0.01048776060648316
101.44723618090453	0.039882181327220545	436.8840356418871	0.0022889369224278495	-35.41296363784353	-35.321675840457104	-0.3303432856820534	2.1060468335193105	3.416196678687337	1438.2057555913998	-0.4537092693443913	0.00014971069601767842	0.19769662867855936	0.01493040518860713	0.0031824147114150694	0.7729376102723778	1.2937654821164764	441.2863075291973	492.88449708185226	4.87636507629236	1.591493757373503	2.152971098672097	261.65337694681995	36.599116713270895	3.823103065628958e-06	0.010124379963418903	0.010457702758083621
101.94472361809045	0.041928089487458894	436.1931622949094	0.002292562301386792	-33.71443360448899	-33.61831084716138	-0.3136397623897603	2.103490146738391	3.4189499557860015	1433.4295986209409	-0.4521473916926342	0.0001477634743580725	0.19703800522932435	0.01483204772235173	0.0031948919754688425	0.8091842958791536	1.2358124163958608	441.9805480561568	493.7958016405026	4.8598904976311905	1.5924974463791624	2.1555310161703596	262.180596162562	36.19430538204412	3.844179959987018e-06	0.010188342227610638	0.01042850341315911
102.44221105527637	0.04405597564969953	435.5007431823775	0.0022962073329487374	-32.014609643710926	-31.913447989363792	-0.29700480992021566	2.1009508853368484	3.4217435401151395	1428.6431020727136	-0.4505615733652628	0.00014585944923944792	0.19637701797731114	0.014733732048555563	0.003207523746091316	0.8467241739319658	1.1810221448577065	442.6725214017444	494.70360425733963	4.843620785934489	1.59351612792115	2.158146574945588	262.7029251447331	35.79783212641745	3.865207745548884e-06	0.01025253997617214	0.010400159583707078
102.93969849246231	0.04626810507429272	434.8067588849777	0.0022998722525942534	-30.313475319513973	-30.207064588474378	-0.2804375999626356	2.098428381088997	3.424577350264862	1423.8463685772542	-0.4489515326867615	0.00014399723187701386	0.19571374504713582	0.014635460063138477	0.0032203123118432547	0.8855875997996419	1.1291937694545895	443.3621897882286	495.607845762579	4.827552009989011	1.5945497760831524	2.160818464838073	263.2203311573785	35.40947816786499	3.886187141531165e-06	0.010316977660400376	0.010372668484011619
103.43718592964824	0.0485667713365113	434.1111898006345	0.0023035572993620594	-28.611014336215245	-28.499137995597952	-0.2639373174005362	2.0959220160916567	3.427451374959947	1419.0394929354086	-0.44731697019349115	0.0001421754892725823	0.19504826271019401	0.014537233648962485	0.003233260032623591	0.9258052231070083	1.0801408061233373	444.04951529053045	496.5084668327469	4.811680315753389	1.5955983660150452	2.163547390375106	263.7327816997922	35.02903206742134	3.907118895446829e-06	0.010381659780709745	0.0103460275325561
103.93467336683418	0.05095429591541961	433.4140161362154	0.0023072627159471354	-26.907210507337485	-26.78964556015344	-0.2475031597541798	2.093431219687061	3.4303656698905223	1414.2225624105813	-0.44565756902069215	0.0001403929415341504	0.19438064542643682	0.014439054676070198	0.0032463693406682716	0.9674079867191551	1.0336900394955149	444.73445983275593	497.4054079900222	4.796001924444689	1.596661874179042	2.166334071611026	264.2402445148005	34.65628939688556	3.9280037833515815e-06	0.010446590887256062	0.01032023435406549
104.4321608040201	0.05343302777704137	432.71521789925487	0.0023109887488006508	-25.202047726097987	-25.07856460009137	-0.2311343366515477	2.0909554655753175	3.4333203547687154	1409.3956570056714	-0.44397299524663036	0.0001386483593403709	0.1937109658849395	0.014340925001924779	0.0032596427416460667	1.0104271259911826	0.9896804769755622	445.4169851843279	498.29860960094913	4.780513130676284	1.5977402785885608	2.169179244974786	264.7426875963129	34.29105242808165	3.948842610091525e-06	0.010511775580601738	0.010295286781677935
104.92964824120602	0.056005342952462046	432.0147748896953	0.002314735648231768	-23.49550993739058	-23.365872373566702	-0.21483006932606658	2.0884942691049835	3.43631561059872	1404.558849725563	-0.44226289819578746	0.00013694056154145038	0.1930392950433172	0.014242846471651645	0.003273082815850832	1.0548941682915192	0.9479623928716713	446.09705295572763	499.1880118745332	4.765210300645295	1.5988335590400304	2.1720836641257595	265.24007919615906	33.9331298391351	3.969636209552982e-06	0.010577218512424743	0.01027118285924595
105.42713567839196	0.05867364411148308	431.3126666916152	0.0023185036685115282	-21.787581111162112	-21.65154605204372	-0.1985895901392916	2.0860471847308246	3.439351677149114	1399.7122068256324	-0.4405269107027146	0.00013526841288847156	0.19236570216599297	0.014144820918281864	0.00328669221949204	1.1008409328065543	0.9083964542002777	446.77462459385316	500.0735548597248	4.750089870367959	1.5999416973378824	2.175048100818606	265.73238783022185	33.58233643677861	3.990385444915373e-06	0.010642924386271081	0.010247920843768285
105.92462311557789	0.06144036013243662	430.6088726649429	0.0023222930679788864	-20.07824521707268	-19.935562694643718	-0.18241214212695037	2.0836138036286824	3.4424288506162095	1394.855788047102	-0.4387646493382578	0.0001336308218836939	0.19169025486136992	0.014046850162997379	0.003300473686083143	1.1482995306341879	0.8708529206205594	447.4496613770035	500.95517844230676	4.735148343961243	1.6010646775130428	2.1780733457781665	266.21958228388405	33.238492893749374	4.011091208907956e-06	0.010708897958357177	0.010225499207954274
106.42211055276383	0.06430794566875636	429.90337193714635	0.0023261041091489835	-18.367486200382515	-18.21789922371199	-0.16629697856695688	2.0811937514579615	3.445547481468585	1389.9896468398426	-0.43697571459961126	0.00013202673874483176	0.1910130191179375	0.01394893601537803	0.003314430027928934	1.197302365173699	0.8352109117022622	448.12212440949486	501.8328223411886	4.72038229196922	1.6022024860352366	2.1811602095853893	266.7016316168014	32.901425500388065	4.031754424071367e-06	0.010775144038419747	0.010203916642923073
106.91959798994975	0.06727888071287771	429.19614339486884	0.0023299370588238965	-16.655287958946314	-16.4985324014965	-0.15024336256783002	2.0787866862628035	3.4487079724635623	1385.1138305730894	-0.43515969106549923	0.00013045515347669427	0.19033405933932637	0.01385108027365056	0.0033285641377139067	1.2478821328190108	0.8013577353984257	448.79197461591656	502.7064261041217	4.705788349732688	1.6033551120194522	2.1843095235754157	267.17850516701907	32.57096592959819	4.05237604302484e-06	0.010841667490621999	0.010183172061040862
